wall;0;0;800;20
wall;0;0;20;600
wall;780;0;800;600
wall;0;580;800;600

cursor;595;95
wall;560;60;630;80
wall;560;80;580;410
wall;610;80;630;390

wall;40;430;760;450
wall;20;470;290;490
#wall;170;450;190;600
wall;40;510;190;530
wall;270;490;290;560
wall;210;510;230;600
finish;50;530;110;580
redwall;80;490;90;510
redwall;180;530;190;580

wall;310;450;330;510
wall;310;530;330;580

wall;350;470;780;490
wall;510;450;530;470

redwall;350;490;750;520
redwall;350;540;750;580
finish;750;490;780;580

wall;40;100;540;360
image;kotik.jpg;40;100

wall;40;60;560;80

redwall;40;40;60;60
redwall;80;20;100;40
redwall;120;40;140;60
redwall;160;20;180;40
redwall;200;40;220;60
redwall;240;20;260;40
redwall;280;40;300;60
redwall;320;20;340;40
redwall;360;40;380;60
redwall;400;20;420;40
redwall;440;40;460;60
redwall;480;20;500;40
redwall;520;40;540;60
redwall;560;20;580;40
redwall;600;40;620;60
redwall;640;20;660;40
redwall;680;40;700;60

wall;40;390;560;410
wall;40;410;60;430

redwall;20;100;23;364
redwall;37;100;40;364

wall;655;60;675;390
wall;695;60;715;390
wall;735;20;755;390
wall;630;60;715;80
