redwall;0;0;800;20
redwall;0;0;20;600
redwall;780;0;800;600
redwall;0;580;800;600
cursor;30;30

redwall;20;50;730;80

#20 80 730 520 10 y
redwall;60;490;68;480
redwall;60;480;85;470
redwall;60;470;101;460
redwall;60;460;117;450
redwall;60;450;133;440
redwall;60;440;149;430
redwall;60;430;165;420
redwall;60;420;181;410
redwall;60;410;198;400
redwall;60;400;214;390
redwall;60;390;230;380
redwall;60;380;246;370
redwall;60;370;262;360
redwall;60;360;278;350
redwall;60;350;294;340
redwall;60;340;310;330
redwall;60;330;327;320
redwall;60;320;343;310
redwall;60;310;359;300
redwall;60;300;375;290
redwall;60;290;391;280
redwall;60;280;407;270
redwall;60;270;423;260
redwall;60;260;440;250
redwall;60;250;456;240
redwall;60;240;472;230
redwall;60;230;488;220
redwall;60;220;504;210
redwall;60;210;520;200
redwall;60;200;536;190
redwall;60;190;552;180
redwall;60;180;569;170
redwall;60;170;585;160
redwall;60;160;601;150
redwall;60;150;617;140
redwall;60;140;633;130
redwall;60;130;649;120
redwall;60;120;665;110
redwall;610;110;682;100
redwall;610;100;698;90
redwall;610;90;714;80
finish;610;80;580;110

#70 80 800 520 10 x
redwall;783;80;783;90
redwall;783;90;766;100
redwall;783;100;750;110
redwall;783;110;733;120
redwall;783;120;717;130
redwall;783;130;700;140
redwall;783;140;683;150
redwall;783;150;667;160
redwall;783;160;650;170
redwall;783;170;634;180
redwall;783;180;617;190
redwall;783;190;601;200
redwall;783;200;584;210
redwall;783;210;567;220
redwall;783;220;551;230
redwall;783;230;534;240
redwall;783;240;518;250
redwall;783;250;501;260
redwall;783;260;484;270
redwall;783;270;468;280
redwall;783;280;451;290
redwall;783;290;435;300
redwall;783;300;418;310
redwall;783;310;401;320
redwall;783;320;385;330
redwall;783;330;368;340
redwall;783;340;352;350
redwall;783;350;335;360
redwall;783;360;318;370
redwall;783;370;302;380
redwall;783;380;285;390
redwall;783;390;269;400
redwall;303;400;252;410
redwall;303;410;235;420
redwall;303;420;219;430
redwall;303;430;202;440
redwall;303;440;186;450
redwall;303;450;169;460
redwall;303;460;153;470
redwall;303;470;136;480
redwall;303;480;119;490
redwall;303;490;103;500
redwall;303;500;86;510
redwall;303;510;70;520

redwall;20;520;303;600
image;zdes-mogla-bit-vasha-reklama.png;390;485
